0.0255,198.8
0.026,96.2
0.0265,70.5
0.027,70.2
0.0275,72.7
0.028,69.7
0.0285,70.9
0.029,75.5
0.0295,67.8
0.03,72.5
0.0305,70.0
0.031,77.3
0.0315,70.3
0.032,67.2
0.0325,59.8
0.033,58.9
0.0335,62.2
0.034,59.3
0.0345,57.7
0.035,59.8
0.0355,60.2
0.036,57.6
0.0365,59.9
0.037,57.8
0.0375,60.8
0.038,63.2
0.0385,60.2
0.039,59.5
0.0395,61.8
0.04,56.9
0.0405,58.0
0.041,57.5
0.0415,58.7
0.042,65.2
0.0425,64.2
0.043,67.4
0.0435,62.2
0.044,65.0
0.0445,61.9
0.045,57.8
0.0455,61.2
0.046,60.8
0.0465,60.9
0.047,57.0
0.0475,59.2
0.048,59.7
0.0485,60.8
0.049,59.9
0.0495,58.0
0.05,55.0
