0.0255,48.2
0.026,41.8
0.0265,47.6
0.027,43.6
0.0275,42.3
0.028,43.5
0.0285,42.5
0.029,46.4
0.0295,50.9
0.03,51.6
0.0305,51.0
0.031,53.5
0.0315,43.2
0.032,41.2
0.0325,50.7
0.033,43.3
0.0335,45.9
0.034,49.3
0.0345,48.1
0.035,45.9
0.0355,41.6
0.036,46.5
0.0365,44.7
0.037,46.6
0.0375,41.8
0.038,39.8
0.0385,48.8
0.039,47.9
0.0395,45.7
0.04,45.0
0.0405,48.1
0.041,47.5
0.0415,49.9
0.042,47.2
0.0425,45.4
0.043,44.7
0.0435,41.0
0.044,39.7
0.0445,43.5
0.045,41.7
0.0455,42.1
0.046,45.0
0.0465,42.6
0.047,42.9
0.0475,44.8
0.048,41.0
0.0485,47.2
0.049,43.6
0.0495,44.7
0.05,48.9
